,purebred,age_upon_intake,sterilized_upon_intake,time_at_shelter,age_upon_outcome,sterilized_upon_outcome,is_dog,is_male,breed1_ec,breed2_ec,col1_ec,col2_ec,in_type_ec,in_cond_ec,out_type_ec
0,False,2,False,4,2.0,True,True,True,0,0,0,0,0,0,0
1,False,2,False,23,2.0,True,True,True,0,0,0,0,1,0,1
2,False,0,False,2,0.0,False,True,False,1,1,0,0,0,0,2
3,False,7,True,0,7.0,True,True,False,2,2,1,1,0,0,0
4,False,0,False,2,0.0,True,True,False,3,0,2,0,1,0,1
5,False,1,False,10,1.0,True,False,False,4,0,3,0,0,0,1
6,False,6,True,0,6.0,True,True,True,1,0,2,0,0,0,0
7,False,1,False,30,1.0,True,True,True,1,0,4,2,0,0,1
8,False,6,True,14,6.0,True,False,False,5,0,2,0,1,0,0
9,False,2,True,1,2.0,True,True,False,6,0,5,3,0,0,0
10,False,2,False,11,2.0,True,True,False,3,0,1,3,2,0,0
11,False,1,False,6,1.0,True,True,False,7,0,5,3,0,0,1
12,True,7,True,0,7.0,True,True,False,8,0,1,3,0,0,0
13,False,5,False,5,5.0,True,True,False,9,0,1,0,0,0,3
14,False,0,True,9,0.0,True,False,True,4,0,5,0,2,0,3
15,False,7,True,0,7.0,True,True,True,10,0,5,0,1,1,0
16,False,3,False,140,4.0,True,True,True,11,0,1,3,0,2,1
17,False,2,False,5,2.0,True,True,True,12,0,2,0,0,0,1
18,False,3,False,297,4.0,True,True,False,13,0,1,3,0,0,1
19,False,5,False,0,5.0,False,True,False,3,0,1,3,0,2,4
20,False,2,False,1,2.0,False,True,True,14,0,5,3,0,0,0
21,False,3,True,4,3.0,True,True,False,11,0,1,0,0,0,0
22,False,5,True,4,5.0,True,True,True,1,3,1,3,0,0,0
23,False,0,True,3,0.0,True,False,False,15,0,5,2,1,0,1
24,False,12,True,0,12.0,True,True,False,12,0,5,3,0,0,0
25,False,0,False,5,1.0,False,True,True,1,4,2,0,0,1,3
26,True,2,False,4,2.0,True,True,False,2,0,5,3,0,0,1
27,False,3,False,0,3.0,False,False,True,4,0,4,0,0,2,4
28,False,5,False,4,5.0,True,True,True,3,0,5,4,0,0,1
29,False,2,True,9,2.0,True,True,False,2,0,3,0,1,0,1
30,False,0,False,2,0.0,True,True,False,16,5,5,3,0,0,0
31,False,0,True,0,0.0,True,True,True,17,6,5,2,1,0,1
32,True,4,True,7,4.0,True,True,False,12,0,5,3,0,2,0
33,False,1,False,2,2.0,True,True,True,18,0,4,2,0,0,0
34,False,1,False,0,1.0,False,False,True,4,0,5,2,0,0,3
35,False,5,True,0,5.0,True,True,True,6,7,5,2,0,0,0
36,False,0,True,35,0.0,True,True,True,17,1,5,2,1,0,1
37,False,1,True,2,1.0,True,True,True,3,0,2,0,1,0,1
38,False,1,False,25,1.0,True,True,True,1,8,2,0,0,0,0
39,False,0,False,4,0.0,True,True,True,12,0,5,3,0,0,0
40,False,1,False,10,1.0,True,True,True,19,3,1,3,0,0,1
41,False,0,False,14,0.0,True,True,True,2,0,1,4,0,0,1
42,False,1,False,5,1.0,False,True,True,1,0,1,3,0,0,0
43,False,5,True,0,5.0,True,True,True,16,0,1,3,0,0,0
44,True,6,False,42,6.0,True,True,True,12,0,5,3,0,0,3
45,False,3,False,4,3.0,True,True,True,9,0,1,0,0,0,1
46,False,1,False,0,1.0,False,True,True,1,0,1,3,1,1,3
47,False,1,True,19,1.0,True,True,False,1,0,4,2,1,0,3
48,False,11,False,2,11.0,True,True,False,3,0,2,0,0,0,0
49,False,8,True,5,8.0,True,False,True,4,0,0,0,2,0,0
50,False,0,False,19,0.0,True,True,True,12,0,5,0,0,0,1
51,False,1,False,0,1.0,False,False,False,4,0,3,0,0,1,4
52,False,15,False,0,15.0,False,True,True,20,0,4,5,0,3,0
53,False,13,True,3,13.0,True,True,True,21,0,5,2,0,0,0
54,False,1,False,5,1.0,True,True,False,3,0,1,1,0,0,1
55,False,2,False,24,2.0,True,True,False,3,0,5,2,0,0,1
56,False,0,True,11,0.0,True,True,True,17,0,3,0,2,0,0
57,False,0,False,2,1.0,True,True,True,10,0,6,0,0,0,0
58,False,2,True,7,2.0,True,True,False,1,0,4,2,0,0,1
59,False,2,False,6,2.0,True,True,True,22,0,5,3,0,0,1
60,False,2,False,42,2.0,True,True,True,21,0,1,3,0,0,1
