,age_upon_intake,sterilized_upon_intake,age_upon_outcome,sterilized_upon_outcome,is_dog,col2_ec,in_type_ec,in_cond_ec,out_type_ec
0,2,False,2.0,True,True,0,0,0,0
1,2,False,2.0,True,True,0,1,0,1
2,0,False,0.0,False,True,0,0,0,2
3,7,True,7.0,True,True,1,0,0,0
4,0,False,0.0,True,True,0,1,0,1
5,1,False,1.0,True,False,0,0,0,1
6,6,True,6.0,True,True,0,0,0,0
7,1,False,1.0,True,True,2,0,0,1
8,6,True,6.0,True,False,0,1,0,0
9,2,True,2.0,True,True,3,0,0,0
10,2,False,2.0,True,True,3,2,0,0
11,1,False,1.0,True,True,3,0,0,1
12,7,True,7.0,True,True,3,0,0,0
13,5,False,5.0,True,True,0,0,0,3
14,0,True,0.0,True,False,0,2,0,3
15,7,True,7.0,True,True,0,1,1,0
16,3,False,4.0,True,True,3,0,2,1
17,2,False,2.0,True,True,0,0,0,1
18,3,False,4.0,True,True,3,0,0,1
19,5,False,5.0,False,True,3,0,2,4
20,2,False,2.0,False,True,3,0,0,0
21,3,True,3.0,True,True,0,0,0,0
22,5,True,5.0,True,True,3,0,0,0
23,0,True,0.0,True,False,2,1,0,1
24,12,True,12.0,True,True,3,0,0,0
25,0,False,1.0,False,True,0,0,1,3
26,2,False,2.0,True,True,3,0,0,1
27,3,False,3.0,False,False,0,0,2,4
28,5,False,5.0,True,True,4,0,0,1
29,2,True,2.0,True,True,0,1,0,1
30,0,False,0.0,True,True,3,0,0,0
31,0,True,0.0,True,True,2,1,0,1
32,4,True,4.0,True,True,3,0,2,0
33,1,False,2.0,True,True,2,0,0,0
34,1,False,1.0,False,False,2,0,0,3
35,5,True,5.0,True,True,2,0,0,0
36,0,True,0.0,True,True,2,1,0,1
37,1,True,1.0,True,True,0,1,0,1
38,1,False,1.0,True,True,0,0,0,0
39,0,False,0.0,True,True,3,0,0,0
40,1,False,1.0,True,True,3,0,0,1
41,0,False,0.0,True,True,4,0,0,1
42,1,False,1.0,False,True,3,0,0,0
43,5,True,5.0,True,True,3,0,0,0
44,6,False,6.0,True,True,3,0,0,3
45,3,False,3.0,True,True,0,0,0,1
46,1,False,1.0,False,True,3,1,1,3
47,1,True,1.0,True,True,2,1,0,3
48,11,False,11.0,True,True,0,0,0,0
49,8,True,8.0,True,False,0,2,0,0
50,0,False,0.0,True,True,0,0,0,1
51,1,False,1.0,False,False,0,0,1,4
52,15,False,15.0,False,True,5,0,3,0
53,13,True,13.0,True,True,2,0,0,0
54,1,False,1.0,True,True,1,0,0,1
55,2,False,2.0,True,True,2,0,0,1
56,0,True,0.0,True,True,0,2,0,0
57,0,False,1.0,True,True,0,0,0,0
58,2,True,2.0,True,True,2,0,0,1
59,2,False,2.0,True,True,3,0,0,1
60,2,False,2.0,True,True,3,0,0,1
61,3,False,4.0,False,True,0,0,0,0
62,17,True,17.0,True,True,2,0,3,0
63,1,False,0.0,True,False,0,0,0,1
64,0,False,0.0,False,True,3,0,2,3
65,14,True,14.0,True,True,0,0,0,0
66,2,False,2.0,True,True,2,0,0,0
67,0,False,0.0,True,False,0,0,0,1
68,1,False,1.0,True,True,0,2,0,0
69,2,False,2.0,True,True,3,0,0,1
70,12,False,13.0,True,True,0,0,3,0
71,3,True,3.0,True,True,3,0,0,1
72,7,True,7.0,True,True,0,0,0,0
73,12,False,12.0,False,True,0,0,0,4
74,6,False,6.0,True,True,3,0,0,0
75,3,False,3.0,True,True,0,0,0,1
76,1,False,1.0,True,True,0,2,0,1
77,1,False,1.0,True,False,0,0,0,1
78,0,False,0.0,True,True,3,0,0,1
79,12,True,12.0,True,True,3,0,0,0
80,6,True,6.0,True,False,0,0,0,1
81,4,True,4.0,True,False,0,0,1,4
82,5,True,5.0,True,True,3,0,0,0
